Page,Region,Line,Word,Tag
1,r2,r2l1,r2l1w1,"date {offset=0, month=3, year=1917, length=4, continued=true, day=15}"
1,r2,r2l1,r2l1w2,"date {offset=0, month=3, year=1917, length=3, continued=true, day=15}"
1,r2,r2l1,r2l1w3,"place {geo=61.52401,105.318756, country=null, offset=0, length=6, continued=false, type=country, placeName=RU}"
1,r2,r2l7,r2l7w6,"place {geo=37.09024,-95.712891, country=null, offset=0, length=6, continued=true, type=country, placeName=US}"
1,r2,r2l7,r2l7w7,"place {geo=37.09024,-95.712891, country=null, offset=0, length=6, continued=true, type=country, placeName=US}"
1,r3,r3l1,r3l1w1,"date {offset=0, month=3, year=1917, length=4, continued=true, day=16}"
1,r3,r3l1,r3l1w2,"date {offset=0, month=3, year=1917, length=3, continued=true, day=16}"
1,r3,r3l1,r3l1w3,"place {country=null, offset=0, length=6, continued=false, type=country, placeName=RU}"
1,r3,r3l3,r3l3w3,"person {firstname=Nicholas, occupation=null, offset=0, dateOfDeath=null, length=5, continued=true, dateOfBirth=null, notice=null, lastname=Alexandrovich}"
1,r3,r3l3,r3l3w4,"person {firstname=Nicholas, occupation=null, offset=0, dateOfDeath=null, length=4, continued=true, dateOfBirth=null, notice=null, lastname=Alexandrovich}"
1,r4,r4l1,r4l1w1,"date {offset=0, month=3, year=1917, length=4, continued=true, day=20}"
1,r4,r4l1,r4l1w2,"date {offset=0, month=3, year=1917, length=3, continued=true, day=20}"
1,r4,r4l3,r4l3w6,"sic {offset=0, length=11, continued=false, correction=napewicaya-}"
1,r5,r5l1,r5l1w1,"date {offset=0, month=3, year=1917, length=4, continued=true, day=25}"
1,r5,r5l1,r5l1w2,"date {offset=0, month=3, year=1917, length=3, continued=true, day=25}"
1,r6,r6l1,r6l1w1,"date {offset=0, month=3, year=1917, length=4, continued=true, day=27}"
1,r6,r6l1,r6l1w2,"date {offset=0, month=3, year=1917, length=3, continued=true, day=27}"
1,r7,r7l1,r7l1w1,"date {offset=0, month=3, year=1917, length=4, continued=true, day=29}"
1,r7,r7l1,r7l1w2,"date {offset=0, month=3, year=1917, length=2, continued=true, day=29}"
1,r7,r7l3,r7l3w5,"place {country=null, offset=0, length=10, continued=false, type=country, placeName=PS}"
1,r7,r7l4,r7l4w5,"place {country=null, offset=0, length=5, continued=true, type=country, placeName=EG}"
1,r7,r7l4,r7l4w6,"place {country=null, offset=0, length=6, continued=true, type=country, placeName=EG}"
1,r7,r7l8,r7l8w2,"sic {offset=0, length=7, continued=false, correction=etanhan}"
1,r8,r8l1,r8l1w1,"date {offset=0, month=4, year=1917, length=4, continued=true, day=5}"
1,r8,r8l1,r8l1w2,"date {offset=0, month=4, year=1917, length=2, continued=true, day=5}"
1,r8,r8l1,r8l1w3,"place {geo=40.58654,-122.391675, country=null, offset=0, length=7, continued=true, type=settlement, placeName=Redding, CA, USA}"
1,r8,r8l1,r8l1w4,"place {geo=40.58654,-122.391675, country=null, offset=0, length=10, continued=true, type=settlement, placeName=Redding, CA, USA}"
1,r8,r8l1,r8l1w7,"place {geo=40.488076,-121.50493, country=null, offset=0, length=6, continued=false, type=landform, placeName=Lassen Peak}"
1,r8,r8l2,r8l2w8,"sic {offset=0, length=4, continued=false, correction=ogna}"
1,r9,r9l1,r9l1w1,"date {offset=0, month=4, year=1917, length=4, continued=true, day=6}"
1,r9,r9l1,r9l1w2,"date {offset=0, month=4, year=1917, length=2, continued=true, day=6}"
1,r9,r9l1,r9l1w3,"place {geo=38.907192,-77.036871, country=null, offset=0, length=10, continued=false, type=settlement, placeName=Washington, DC, USA}"
1,r9,r9l2,r9l2w2,"person {firstname=Woodrow, occupation=null, offset=0, dateOfDeath=null, length=5, continued=true, dateOfBirth=null, notice=null, lastname=Wilson}"
1,r9,r9l2,r9l2w3,"person {firstname=Woodrow, occupation=null, offset=0, dateOfDeath=null, length=6, continued=true, dateOfBirth=null, notice=null, lastname=Wilson}"
1,r10,r10l1,r10l1w1,"date {offset=0, month=4, year=1917, length=4, continued=true, day=9}"
1,r10,r10l1,r10l1w2,"date {offset=0, month=4, year=1917, length=2, continued=true, day=9}"
1,r10,r10l1,r10l1w3,"place {geo=38.627003,-90.199404, country=null, offset=0, length=3, continued=true, type=settlement, placeName=St. Louis, MO, USA}"
1,r10,r10l1,r10l1w4,"place {geo=38.627003,-90.199404, country=null, offset=0, length=5, continued=true, type=settlement, placeName=St. Louis, MO, USA}"
1,r10,r10l1,r10l1w5,"place {geo=38.627003,-90.199404, country=null, offset=0, length=6, continued=true, type=settlement, placeName=St. Louis, MO, USA}"
1,r11,r11l1,r11l1w1,"date {offset=0, month=4, year=1917, length=3, continued=true, day=11}"
1,r11,r11l1,r11l1w2,"date {offset=0, month=4, year=1917, length=4, continued=true, day=11}"
1,r11,r11l4,r11l4w5,"person {firstname=Arthur J, occupation=null, offset=0, dateOfDeath=null, length=6, continued=true, dateOfBirth=null, notice=null, lastname=Balfour}"
1,r11,r11l4,r11l4w6,"person {firstname=Arthur J, occupation=null, offset=0, dateOfDeath=null, length=2, continued=true, dateOfBirth=null, notice=null, lastname=Balfour}"
1,r11,r11l4,r11l4w7,"person {firstname=Arthur J, occupation=null, offset=0, dateOfDeath=null, length=4, continued=true, dateOfBirth=null, notice=null, lastname=Balfour}"
1,r11,r11l5,r11l5w1,"person {firstname=Arthur J, occupation=null, offset=0, dateOfDeath=null, length=5, continued=true, dateOfBirth=null, notice=null, lastname=Balfour}"
2,r1,r1l1,r1l1w5,"person {firstname=René, occupation=null, offset=0, dateOfDeath=null, length=2, continued=true, dateOfBirth=null, notice=null, lastname=Viviani}"
2,r1,r1l1,r1l1w6,"person {firstname=René, occupation=null, offset=0, dateOfDeath=null, length=7, continued=true, dateOfBirth=null, notice=null, lastname=Viviani}"
2,r1,r1l5,r1l5w6,"sic {offset=0, length=11, continued=false, correction=Washington}"
2,r2,r2l1,r2l1w1,"date {offset=0, month=4, year=1917, length=4, continued=true, day=22}"
2,r2,r2l1,r2l1w2,"date {offset=0, month=4, year=1917, length=3, continued=true, day=22}"
2,r3,r3l1,r3l1w1,"date {offset=0, month=4, year=1917, length=4, continued=true, day=24}"
2,r3,r3l1,r3l1w2,"date {offset=0, month=4, year=1917, length=3, continued=true, day=24}"
2,r3,r3l1,r3l1w3,"place {geo=37.017197,-76.298594, country=null, offset=0, length=8, continued=true, type=settlement, placeName=Fort Monroe, VA, USA}"
2,r3,r3l1,r3l1w4,"place {geo=37.017197,-76.298594, country=null, offset=0, length=7, continued=true, type=settlement, placeName=Fort Monroe, VA, USA}"
2,r3,r3l1,r3l1w5,"place {geo=37.017197,-76.298594, country=null, offset=0, length=3, continued=true, type=settlement, placeName=Fort Monroe, VA, USA}"
2,r3,r3l3,r3l3w2,"sic {offset=0, length=10, continued=false, correction=okitaninpi}"
2,r3,r3l3,r3l3w4,"sic {offset=0, length=8, continued=false, correction=Viviani}"
2,r3,r3l3,r3l3w5,"person {firstname=Joseph, occupation=null, offset=0, dateOfDeath=null, length=7, continued=true, dateOfBirth=null, notice=null, lastname=Joffre}"
2,r3,r3l3,r3l3w6,"person {firstname=Joseph, occupation=null, offset=0, dateOfDeath=null, length=6, continued=true, dateOfBirth=null, notice=null, lastname=Joffre}"
